context:timestamp,org_abbr,sector,prov,municipality,status,context:location:latitude,context:location:longitude,m_code_str,m_code,
4/24/12 15:00,UNICEF ,Health,Leyte,Barugo,ongoing,11.3078,124.769,83706000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Burauen,ongoing,10.9639,124.855,83710000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Capoocan,ongoing,11.2501,124.604,83714000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Carigara,ongoing,11.2368,124.693,83715000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Dagami,ongoing,11.0614,124.863,83717000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Dulag,ongoing,10.9633,125.008,83718000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Jaro,ongoing,11.162,124.766,83723000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Javier (Bugho),ongoing,10.764,124.925,83724000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Julita,ongoing,10.9813,124.961,83725000,,
4/24/12 15:00,UNICEF ,Health,Leyte,LA PAZ,ongoing,10.8808,124.903,83728000,,
4/24/12 15:00,UNICEF ,Health,Leyte,MACARTHUR,ongoing,10.8248,124.938,83730000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Mayorga,ongoing,10.8832,124.988,83735000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Pastrana,ongoing,11.1154,124.861,83741000,,
4/24/12 15:00,UNICEF ,Health,Leyte,San Miguel,ongoing,11.3184,124.844,83743000,,
4/24/12 15:00,UNICEF ,Health,Leyte,SANTA FE,ongoing,11.1887,124.936,83744000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Tabontabon,ongoing,11.0441,124.947,83746000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Tanauan,ongoing,11.0846,124.991,83748000,,
4/24/12 15:00,UNICEF ,Health,Leyte,TOLOSA,ongoing,11.0369,125.02,83749000,,
4/24/12 15:00,UNICEF ,Health,Leyte,Tunga,ongoing,11.2475,124.757,83750000,,
4/24/12 15:00,UNICEF/IMC,Health,Leyte,Burauen,ongoing,10.9639,124.855,83710000,,
4/24/12 15:00,UNICEF/IMC,Health,Leyte,Dagami,ongoing,11.0614,124.863,83717000,,
4/24/12 15:00,UNICEF/IMC,Health,Leyte,Julita,ongoing,10.9813,124.961,83725000,,
