context:timestamp,org_abbr,sector,prov,municipality,status,context:location:latitude,context:location:longitude,m_code_str,m_code
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,JARO,Completed,11.162,124.766,83723000,83723
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,JULITA,Planned,10.9813,124.961,83725000,83725
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,KANANGA,Planned,11.169,124.564,83726000,83726
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,LAWAAN,Ongoing,11.2021,125.287,82612000,82612
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,LAWAAN,Planned,11.2021,125.287,82612000,82612
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,LLORENTE,Planned,11.3428,125.448,82613000,82613
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,MACARTHUR,Completed,10.8248,124.938,83730000,83730
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,MACARTHUR,Planned,10.8248,124.938,83730000,83730
4/24/2012 15:00,DOH/NNC,Nutrition,SAMAR (WESTERN SAMAR),MARABUT,Planned,11.2058,125.218,86010000,86010
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,MAYDOLONG,Planned,11.4603,125.361,82615000,82615
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,MAYORGA,Planned,10.8832,124.988,83735000,83735
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,MERCEDES,Ongoing,11.089,125.705,82616000,82616
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,MERCEDES,Planned,11.089,125.705,82616000,82616
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,ORAS,Planned,12.1527,125.386,82617000,82617
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,ORMOC CITY,Ongoing,11.0552,124.636,83738000,83738
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,ORMOC CITY,Planned,11.0552,124.636,83738000,83738
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,PALO,Completed,11.1457,124.97,83739000,83739
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,PALO,Planned,11.1457,124.97,83739000,83739
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,PALOMPON,Planned,11.034,124.422,83740000,83740
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,PASTRANA,Completed,11.1154,124.861,83741000,83741
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,PASTRANA,Planned,11.1154,124.861,83741000,83741
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,QUINAPONDAN,Planned,11.1896,125.477,82618000,82618
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,SALCEDO,Planned,11.1593,125.628,82619000,82619
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,SAN JULIAN,Planned,11.7313,125.372,82620000,82620
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,SAN MIGUEL,Planned,11.3184,124.844,83743000,83743
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,SANTA FE,Planned,11.1887,124.936,83744000,83744
4/24/2012 15:00,DOH/NNC,Nutrition,SAMAR (WESTERN SAMAR),SANTA RITA,Planned,11.444,125.005,86017000,86017
4/24/2012 15:00,DOH/NNC,Nutrition,EASTERN SAMAR,SULAT,Planned,11.7957,125.374,82622000,82622
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,TABONTABON,Planned,11.0441,124.947,83746000,83746
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,TACLOBAN CITY (CAPITAL),Completed,11.2724,124.955,83747000,83747
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,TACLOBAN CITY (CAPITAL),Planned,11.2724,124.955,83747000,83747
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,TANAUAN,Planned,11.0846,124.991,83748000,83748
4/24/2012 15:00,DOH/NNC,Nutrition,LEYTE,TOLOSA,Planned,11.0369,125.02,83749000,83749
4/24/2012 15:00,HKI,Nutrition,SAMAR (WESTERN SAMAR),BASEY,Planned,11.3937,125.152,86002000,86002
4/24/2012 15:00,HKI,Nutrition,EASTERN SAMAR,LLORENTE,Planned,11.3428,125.448,82613000,82613
4/24/2012 15:00,HKI,Nutrition,SAMAR (WESTERN SAMAR),MARABUT,Planned,11.2058,125.218,86010000,86010
4/24/2012 15:00,HKI,Nutrition,EASTERN SAMAR,MAYDOLONG,Planned,11.4603,125.361,82615000,82615
4/24/2012 15:00,HKI,Nutrition,SAMAR (WESTERN SAMAR),SANTA RITA,Planned,11.444,125.005,86017000,86017
4/24/2012 15:00,IFRC,Nutrition,SAMAR (WESTERN SAMAR),BASEY,Ongoing,11.3937,125.152,86002000,86002
4/24/2012 15:00,IFRC,Nutrition,LEYTE,ORMOC CITY,Ongoing,11.0552,124.636,83738000,83738
4/24/2012 15:00,IMC,Nutrition,LEYTE,ALBUERA,Completed,10.9258,124.745,83703000,83703
4/24/2012 15:00,IMC,Nutrition,LEYTE,ALBUERA,Planned,10.9258,124.745,83703000,83703
4/24/2012 15:00,IMC,Nutrition,LEYTE,ALBUERA,Ongoing,10.9258,124.745,83703000,83703
4/24/2012 15:00,IMC,Nutrition,LEYTE,BURAUEN,Completed,10.9639,124.855,83710000,83710
4/24/2012 15:00,IMC,Nutrition,LEYTE,CARIGARA,Planned,11.2368,124.693,83715000,83715
4/24/2012 15:00,IMC,Nutrition,LEYTE,CARIGARA,Ongoing,11.2368,124.693,83715000,83715
4/24/2012 15:00,IMC,Nutrition,LEYTE,DAGAMI,Completed,11.0614,124.863,83717000,83717
4/24/2012 15:00,IMC,Nutrition,LEYTE,JULITA,Completed,10.9813,124.961,83725000,83725
